"Name action", "Timestamp action"
"Add a new candidate","2020-04-20T19:54:03.140156800"
"Get all candidates from csv","2020-04-20T19:54:03.156188800"
"Get all candidates","2020-04-20T19:54:03.180511400"
"Add a new candidate","2020-04-20T20:01:41.046050800"
"Get all candidates from csv","2020-04-20T20:01:41.046050800"
"Get all candidates","2020-04-20T20:01:41.061673"
"Add a new candidate","2020-04-20T20:06:40.332944200"
"Get all candidates from csv","2020-04-20T20:06:40.340922200"
"Get all candidates","2020-04-20T20:06:40.353888700"
"Add a new candidate","2020-04-20T20:09:48.286775800"
"Get all candidates from csv","2020-04-20T20:09:48.296745800"
"Get all candidates","2020-04-20T20:09:48.310708800"
"Add a new candidate","2020-04-20T20:13:33.227165100"
"Get all candidates from csv","2020-04-20T20:13:33.234146"
"Get all candidates","2020-04-20T20:13:33.247197900"
"Get all candidates from csv","2020-04-20T20:14:27.288030100"
"Get all candidates","2020-04-20T20:14:27.309970500"
"Get all candidates from csv","2020-04-20T20:53:22.664977300"
"Get all candidates from csv","2020-04-20T20:54:20.179948900"
"Add a new candidate","2020-04-20T20:55:09.812635200"
"Get all candidates from csv","2020-04-20T20:58:43.452554300"
"Get all budget candidates","2020-04-20T20:58:48.899383300"
"Get all candidates from csv","2020-04-20T20:59:27.645664300"
"Get all countryside candidates","2020-04-20T20:59:37.468681"
"Get all candidates from csv","2020-04-20T20:59:43.847121200"
"Get all candidates","2020-04-20T20:59:54.175066500"
"Get all candidates from csv","2020-04-20T21:02:57.257533100"
"Get all countryside candidates","2020-04-20T21:03:03.348376200"
"Get all candidates from csv","2020-04-20T21:03:23.985582900"
"Get all budget candidates","2020-04-20T21:03:28.660885700"
"Get all candidates from csv","2020-04-20T21:03:39.869244100"
"Add a new candidate","2020-04-20T21:04:10.532642600"
"Get all candidates from csv","2020-04-20T21:04:31.720601200"
"Get all budget candidates","2020-04-20T21:04:36.923384100"
"Get all candidates from csv","2020-04-20T21:23:20.843682700"
"Get all candidates from csv","2020-04-20T21:24:19.107500"
"Add a new candidate","2020-04-20T21:24:46.105850500"
"Get all candidates from csv","2020-04-20T21:25:06.999445600"
"Get all candidates","2020-04-20T21:25:11.931842600"
"Get all candidates from csv","2020-04-20T21:25:39.467480300"
"Get all candidates","2020-04-20T21:25:45.087367600"
"Get all candidates from csv","2020-04-20T21:29:57.480290200"
"Get all candidates","2020-04-20T21:30:03.708013700"
"Get all candidates from csv","2020-04-20T21:30:12.375409300"
"Get all budget candidates","2020-04-20T21:30:16.986912200"
"Get all candidates from csv","2020-04-20T21:32:21.646398700"
"Get all countryside candidates","2020-04-20T21:32:28.624363900"
"Get all candidates from csv","2020-04-20T21:32:48.859979800"
"Get all toll candidates","2020-04-20T21:32:57.199753100"
"Get all candidates from csv","2020-04-20T21:33:02.237230400"
"Modify the name of a candidate","2020-04-20T21:33:34.047202600"
"Get all candidates","2020-04-20T21:33:34.048199400"
"Get all candidates from csv","2020-04-20T21:33:43.717541400"
"Delete a candidate by CNP","2020-04-20T21:34:30.785184600"
"Get all candidates from csv","2020-04-20T21:37:26.966182600"
"Delete a candidate by CNP","2020-04-20T21:40:47.879704100"
"Get all candidates from csv","2020-04-20T21:41:54.367142400"
"Get all candidates from csv","2020-04-20T21:43:34.471601300"
"Get all candidates from csv","2020-04-20T21:43:56.865017500"
"Get a candidate by CNP","2020-04-20T21:44:32.500485100"
"Get all candidates from csv","2020-04-20T21:48:19.777639700"
"Get a candidate by CNP","2020-04-20T21:48:36.412633800"
"Get all candidates from csv","2020-04-20T21:49:19.567188500"
"Get a candidate by CNP","2020-04-20T21:49:25.832483100"
"Get all candidates from csv","2020-04-20T21:51:35.388744800"
"Get a candidate by CNP","2020-04-20T21:51:41.264625300"
"Get all candidates from csv","2020-04-20T21:52:23.805191200"
"Get a candidate by CNP","2020-04-20T21:52:31.322539300"
"Get all candidates from csv","2020-04-20T21:53:25.812478300"
"Get a candidate by CNP","2020-04-20T21:53:34.003103900"
"Get all candidates from csv","2020-04-20T21:53:38.450211300"
